node_id,sae_name,activity_threshold,subgraph_id,subgraph_size,feature_activations
918,resjb,0.0,207,27,50.0
19094,resjb,0.0,207,27,41.0
13855,resjb,0.0,207,27,55.0
8870,resjb,0.0,207,27,37.0
16300,resjb,0.0,207,27,47.0
18351,resjb,0.0,207,27,36.0
7219,resjb,0.0,207,27,52.0
1844,resjb,0.0,207,27,38.0
12984,resjb,0.0,207,27,48.0
2488,resjb,0.0,207,27,54.0
16957,resjb,0.0,207,27,44.0
12361,resjb,0.0,207,27,36.0
13900,resjb,0.0,207,27,36.0
208,resjb,0.0,207,27,41.0
19156,resjb,0.0,207,27,33.0
12407,resjb,0.0,207,27,78.0
14683,resjb,0.0,207,27,35.0
23388,resjb,0.0,207,27,32.0
15582,resjb,0.0,207,27,32.0
23134,resjb,0.0,207,27,48.0
2679,resjb,0.0,207,27,54.0
20475,resjb,0.0,207,27,46.0
20607,resjb,0.0,207,27,51.0
209,resjb,0.0,208,1,2.0
210,resjb,0.0,209,1,93.0
211,resjb,0.0,210,1,0.0
212,resjb,0.0,211,1,1.0
213,resjb,0.0,212,1,0.0
12705,resjb,0.0,213,11,25.0
20226,resjb,0.0,213,11,19.0
6020,resjb,0.0,213,11,24.0
19750,resjb,0.0,213,11,33.0
6760,resjb,0.0,213,11,25.0
2132,resjb,0.0,213,11,31.0
10229,resjb,0.0,213,11,38.0
214,resjb,0.0,213,11,33.0
17976,resjb,0.0,213,11,38.0
20189,resjb,0.0,213,11,32.0
7519,resjb,0.0,213,11,32.0
215,resjb,0.0,214,1,21.0
216,resjb,0.0,215,2,70.0
15263,resjb,0.0,215,2,77.0
217,resjb,0.0,216,1,0.0
218,resjb,0.0,217,1,21.0
219,resjb,0.0,218,1,0.0
220,resjb,0.0,219,1,50.0
221,resjb,0.0,220,1,24.0
222,resjb,0.0,221,1,21.0
223,resjb,0.0,222,1,0.0
224,resjb,0.0,223,1,0.0
225,resjb,0.0,224,1,38.0
20096,resjb,0.0,225,26,60.0
14085,resjb,0.0,225,26,52.0
12560,resjb,0.0,225,26,45.0
1556,resjb,0.0,225,26,54.0
4244,resjb,0.0,225,26,84.0
24470,resjb,0.0,225,26,62.0
19866,resjb,0.0,225,26,46.0
16538,resjb,0.0,225,26,41.0
23067,resjb,0.0,225,26,80.0
23967,resjb,0.0,225,26,68.0
1951,resjb,0.0,225,26,54.0
23073,resjb,0.0,225,26,65.0
7848,resjb,0.0,225,26,62.0
15028,resjb,0.0,225,26,76.0
3125,resjb,0.0,225,26,99.0
2102,resjb,0.0,225,26,111.0
20033,resjb,0.0,225,26,59.0
9283,resjb,0.0,225,26,55.0
843,resjb,0.0,225,26,51.0
226,resjb,0.0,225,26,41.0
869,resjb,0.0,225,26,44.0
21735,resjb,0.0,225,26,51.0
6000,resjb,0.0,225,26,63.0
10357,resjb,0.0,225,26,90.0
9078,resjb,0.0,225,26,89.0
3195,resjb,0.0,225,26,60.0
227,resjb,0.0,226,1,0.0
228,resjb,0.0,227,1,0.0
229,resjb,0.0,228,1,23.0
230,resjb,0.0,229,1,40.0
231,resjb,0.0,230,1,19.0
232,resjb,0.0,231,1,63.0
233,resjb,0.0,232,1,35.0
234,resjb,0.0,233,1,19.0
235,resjb,0.0,234,1,46.0
236,resjb,0.0,235,1,0.0
237,resjb,0.0,236,1,16.0
238,resjb,0.0,237,1,21.0
239,resjb,0.0,238,1,28.0
240,resjb,0.0,239,1,85.0
241,resjb,0.0,240,1,26.0
242,resjb,0.0,241,1,59.0
243,resjb,0.0,242,1,22.0
244,resjb,0.0,243,1,31.0
245,resjb,0.0,244,1,45.0
246,resjb,0.0,245,1,9.0
247,resjb,0.0,246,1,48.0
248,resjb,0.0,247,1,57.0
249,resjb,0.0,248,1,0.0
250,resjb,0.0,249,1,15.0
251,resjb,0.0,250,1,5.0
252,resjb,0.0,251,1,0.0
253,resjb,0.0,252,1,96.0
254,resjb,0.0,253,1,0.0
255,resjb,0.0,254,1,82.0
256,resjb,0.0,255,1,37.0
257,resjb,0.0,256,1,0.0
258,resjb,0.0,257,1,61.0
259,resjb,0.0,258,1,33.0
260,resjb,0.0,259,1,47.0
261,resjb,0.0,260,1,46.0
262,resjb,0.0,261,1,33.0
263,resjb,0.0,262,1,15.0
264,resjb,0.0,263,1,54.0
265,resjb,0.0,264,1,0.0
266,resjb,0.0,265,3,32.0
20956,resjb,0.0,265,3,24.0
20748,resjb,0.0,265,3,20.0
23552,resjb,0.0,266,5,19.0
1025,resjb,0.0,266,5,23.0
267,resjb,0.0,266,5,7.0
20658,resjb,0.0,266,5,17.0
8826,resjb,0.0,266,5,26.0
268,resjb,0.0,267,1,19.0
13953,resjb,0.0,268,65,7900.0
513,resjb,0.0,268,65,2623.0
